TEXT	GREY = 0 non relevant; WHITE: Peace and Harmony = 1; GREEN: Hope and Prosperity = 2; RED: Blood of the heroes= 3	TRANSLATION
Mexicanos,	0	0
al	0	0
grito de guerra,%	3	Shout of war
El acero aprestad	3	Ready your steel
y	0	0
el	0	0
bridón,%	0	0
Y	0	0
retiemble en sus centros la tierra,%	3	The Earth may tremble at its core
Al	0	0
sonoro	0	0
rugir del cañón.%	3	Roar of the cannon.
¡Y	0	0
retiemble en sus centros la tierra!%	3	The Earth may tremble at its core
Al	0	0
sonoro	0	0
rugir del cañón.&%	3	Roar of the cannon.
Ciña	0	0
¡Oh Patria!	2	Oh Fatherland!
tus	0	0
sienes	0	0
de	0	0
oliva%	0	0
de	0	0
la paz del arcángel divino,%	1	The Peace of the Divine Archaengel
que	0	0
en	0	0
el	0	0
cielo	0	0
tu	0	0
eterno destino%	2	Your Eternal Destiny
por	0	0
el	0	0
dedo	0	0
de	0	0
Dios	0	0
se	0	0
escribió.%	0	0
Mas	0	0
si	0	0
osare	0	0
un	0	0
extraño enemigo%	3	Strange Enemy
profanar con su planta tu suelo,%	3	Profane this grounds
piensa	0	0
¡Oh Patria querida!	2	Oh dear Fatherland!
que	0	0
el	0	0
cielo%	0	0
un soldado en cada hijo	3	There is a soldier all of your sons
te	0	0
dio.%	0	0
¡Un soldado en cada hijo	3	There is a soldier all of your sons
te	0	0
dio!&%	0	0
En	0	0
sangrientos combates	3	Bloody Combats
los	0	0
viste%	0	0
por	0	0
tu	0	0
amor palpitando	1	Palpitating Love
sus	0	0
senos,%	0	0
arrostrar la metralla	3	Face the Shrapnel
serenos,%	0	0
y	0	0
la muerte o la gloria	2	Death and Glory
buscar.%	0	0
Si	0	0
el	0	0
recuerdo	0	0
de	0	0
antiguas hazañas,%	2	Old Heroic Feats
de	0	0
tus	0	0
hijos	0	0
inflama	0	0
la	0	0
mente,%	0	0
los	0	0
laureles del triunfo,	2	Laurels of trumph
tu	0	0
frente,%	0	0
volverán	0	0
inmortales	0	0
a	0	0
ornar.%	0	0
¡Volverán	0	0
inmortales	0	0
a	0	0
ornar!&%	0	0
Como	0	0
al	0	0
golpe del rayo	3	Strike of a Thunder
la	0	0
encina%	0	0
se	0	0
derrumba	0	0
hasta	0	0
el hondo torrente%	3	The deep bloodstream
la	0	0
discordia	0	0
vencida,	3	Defeat
impotente,%	3	Impotent
a	0	0
los	0	0
pies	0	0
del	0	0
arcángel	0	0
cayó.%	0	0
Ya	0	0
no	0	0
más	0	0
de	0	0
tus	0	0
hijos	0	0
la sangre%	3	The blood spills
se derrama	3	The blood spills
en	0	0
contienda	0	0
de	0	0
hermanos;%	0	0
solo	0	0
encuentre	0	0
el acero en sus manos%	3	The steel in his hands
quien tu nombre sagrado insultó.%	3	He whom Insulted your sacred name.
¡Quien tu nombre sagrado insultó!&%	0	He whom Insulted your sacred name.
Del	0	0
guerrero inmortal	3	Immortal Warrior
de	0	0
Zempoala%	0	0
Te	0	0
defiende	0	0
la	0	0
espada terrible,%	3	Terrible Sword
Y	0	0
sostiene	0	0
su	0	0
brazo invencible%	2	Invincible Arm
tu	0	0
sagrado pendón	2	Sacred Banner
tricolor.%	0	0
¡Él	0	0
será	0	0
del	0	0
feliz	0	0
mexicano!%	0	0
en la paz	1	In Peace
y	0	0
en la guerra	3	In War
el	0	0
caudillo,%	0	0
porque	0	0
él	0	0
supo	0	0
sus	0	0
armas de brillo%	3	Weapons that shine
circundar	0	0
en	0	0
los	0	0
campos de honor.%	2	The fields of Honor
¡Circundar	0	0
en	0	0
los	0	0
campos de honor!&%	2	The fields of Honor
¡Guerra, guerra sin tregua	3	War, War without truce.
al	0	0
que	0	0
intente%	0	0
De	0	0
la patria	2	The Fatherland
manchar	0	0
